vessel_id,timestamp,lat,lon,speed_knots,course_deg
V2,2026-01-14T07:32:00Z,18.933893,70.499458,11.34,217.5
V3,2026-01-14T10:32:00Z,19.638802,71.121834,9.70,226.1
V3,2026-01-14T11:17:00Z,19.599570,71.084624,10.64,223.9
V3,2026-01-14T12:02:00Z,19.554576,71.044100,10.14,222.2
V3,2026-01-14T12:47:00Z,19.517178,70.990363,10.56,224.9
V3,2026-01-14T13:32:00Z,19.472099,70.957260,10.48,224.9
V3,2026-01-14T14:17:00Z,19.431604,70.925893,9.81,226.3
V3,2026-01-14T15:02:00Z,19.388389,70.872578,10.15,224.8
V3,2026-01-14T15:47:00Z,19.354853,70.835110,10.16,225.4
V3,2026-01-14T16:32:00Z,19.320651,70.794079,10.00,230.8
V3,2026-01-14T17:17:00Z,19.276723,70.752933,10.35,224.9
V3,2026-01-14T18:02:00Z,19.236194,70.708485,10.04,229.7
V3,2026-01-14T18:47:00Z,19.190059,70.666334,10.29,228.3
V3,2026-01-14T19:32:00Z,19.151750,70.623933,10.41,226.4
V3,2026-01-14T20:17:00Z,19.116549,70.582827,10.38,226.8
V3,2026-01-14T21:02:00Z,19.073948,70.539062,10.33,229.3
V3,2026-01-14T21:47:00Z,19.037564,70.496983,10.49,227.2
V3,2026-01-14T22:32:00Z,18.985844,70.458084,10.55,227.1
V4,2026-01-13T21:32:00Z,19.347535,70.940873,13.80,49.4
V4,2026-01-13T22:22:00Z,19.393260,70.977123,13.73,48.6
V4,2026-01-13T23:12:00Z,19.437219,71.030677,14.47,48.7
V4,2026-01-14T00:02:00Z,19.472560,71.070335,13.58,49.1
V4,2026-01-14T00:52:00Z,19.524585,71.115641,14.43,48.1
V4,2026-01-14T01:42:00Z,19.563468,71.157252,14.35,47.6
V4,2026-01-14T02:32:00Z,19.602033,71.202628,14.03,51.4
V4,2026-01-14T03:22:00Z,19.648228,71.245341,14.34,50.0
V4,2026-01-14T04:12:00Z,19.686847,71.286874,13.78,51.0
V4,2026-01-14T05:02:00Z,19.736447,71.337011,14.38,49.1
V4,2026-01-14T05:52:00Z,19.775225,71.379309,13.95,51.0
V4,2026-01-14T06:42:00Z,19.819859,71.418659,13.95,49.0
V4,2026-01-14T07:32:00Z,19.862709,71.465917,14.36,49.4
V4,2026-01-14T08:22:00Z,19.908178,71.506892,14.04,50.1
V4,2026-01-14T09:12:00Z,19.953242,71.549314,14.01,45.2
V4,2026-01-14T10:02:00Z,19.993900,71.592415,14.06,51.6
V4,2026-01-14T10:52:00Z,20.042180,71.643226,14.39,50.8
V4,2026-01-14T11:32:00Z,20.075365,71.669690,13.89,53.0
V5,2026-01-13T20:32:00Z,21.596508,69.403239,9.12,330.1
V5,2026-01-13T21:27:00Z,21.652023,69.379837,9.51,329.6
V5,2026-01-13T22:22:00Z,21.689835,69.363813,9.92,331.1
V5,2026-01-13T23:17:00Z,21.741413,69.350136,9.28,330.9
V5,2026-01-14T00:12:00Z,21.784349,69.331673,9.87,333.9
V5,2026-01-14T01:07:00Z,21.828902,69.313043,9.25,333.0
V5,2026-01-14T02:02:00Z,21.864871,69.300428,9.41,332.0
V5,2026-01-14T02:57:00Z,21.917982,69.275780,9.19,331.5
V5,2026-01-14T03:52:00Z,21.963450,69.264193,9.33,332.4
V5,2026-01-14T04:47:00Z,22.014825,69.244049,9.39,332.8
V5,2026-01-14T05:42:00Z,22.061786,69.225297,9.22,331.6
V5,2026-01-14T06:37:00Z,22.108522,69.206318,9.17,333.2
V5,2026-01-14T07:32:00Z,22.152464,69.196382,9.29,332.9
V5,2026-01-14T08:27:00Z,22.193834,69.173883,9.71,330.4
V5,2026-01-14T09:22:00Z,22.241027,69.162918,9.36,338.1
V5,2026-01-14T10:17:00Z,22.288590,69.140690,9.43,336.1
V5,2026-01-14T11:12:00Z,22.331612,69.128058,9.02,334.9
V5,2026-01-14T12:07:00Z,22.377692,69.104342,9.36,332.6
V5,2026-01-14T12:32:00Z,22.391969,69.101304,9.46,333.7
V6,2026-01-13T22:32:00Z,18.845729,72.554339,7.84,14.4
V6,2026-01-13T23:22:00Z,18.864784,72.561394,8.13,8.3
V6,2026-01-14T00:12:00Z,18.882262,72.565895,8.26,9.0
V6,2026-01-14T01:02:00Z,18.898567,72.573474,8.05,12.3
V6,2026-01-14T01:52:00Z,18.910171,72.588695,8.21,13.7
V6,2026-01-14T02:42:00Z,18.933215,72.592670,7.86,16.9
V6,2026-01-14T03:32:00Z,18.940885,72.611820,7.98,10.1
V6,2026-01-14T04:22:00Z,18.953928,72.611691,8.13,15.0
V6,2026-01-14T05:12:00Z,18.984273,72.623039,7.37,17.1
V6,2026-01-14T06:02:00Z,18.989781,72.634659,7.76,19.3
V6,2026-01-14T06:52:00Z,19.007560,72.639967,7.50,17.1
V6,2026-01-14T07:42:00Z,19.023235,72.652771,7.65,21.6
V6,2026-01-14T08:32:00Z,19.037540,72.658543,7.66,17.6
V6,2026-01-14T09:22:00Z,19.051645,72.663076,7.76,21.7
V6,2026-01-14T10:12:00Z,19.066033,72.670144,7.31,20.7
V6,2026-01-14T11:02:00Z,19.081325,72.680768,7.47,17.9
V6,2026-01-14T11:52:00Z,19.101878,72.697294,7.41,25.6
V6,2026-01-14T12:42:00Z,19.118511,72.699130,6.85,19.8
V6,2026-01-14T13:32:00Z,19.135569,72.703926,7.29,26.6
V6,2026-01-14T14:22:00Z,19.149443,72.714345,7.33,23.3
V6,2026-01-14T14:32:00Z,19.150126,72.721011,7.21,26.5
V7,2026-01-13T19:32:00Z,20.805244,68.404463,13.48,172.1
V7,2026-01-13T20:22:00Z,20.696318,68.409931,13.43,173.6
V7,2026-01-13T21:12:00Z,20.605653,68.414765,13.43,175.5
V7,2026-01-13T22:02:00Z,20.503684,68.425316,13.68,173.5
V7,2026-01-13T22:52:00Z,20.403025,68.435238,13.88,171.6
V7,2026-01-13T23:42:00Z,20.302251,68.441243,13.77,175.8
V7,2026-01-14T00:32:00Z,20.204312,68.440602,13.80,174.9
V7,2026-01-14T01:22:00Z,20.103757,68.454757,13.48,175.5
V7,2026-01-14T02:12:00Z,20.011939,68.466094,13.57,173.9
V7,2026-01-14T03:02:00Z,19.908857,68.472371,13.80,175.6
V7,2026-01-14T03:52:00Z,19.812517,68.477717,13.57,181.8
V7,2026-01-14T04:42:00Z,19.712851,68.487931,13.68,174.2
V7,2026-01-14T05:32:00Z,19.614626,68.489468,12.96,178.4
V7,2026-01-14T06:22:00Z,19.515829,68.497815,13.96,179.0
V7,2026-01-14T07:12:00Z,19.419040,68.503750,13.49,174.4
V7,2026-01-14T08:02:00Z,19.314907,68.509869,13.63,179.2
V7,2026-01-14T08:52:00Z,19.221571,68.520877,13.71,179.3
V7,2026-01-14T09:42:00Z,19.119381,68.537103,13.63,176.0
V7,2026-01-14T10:32:00Z,19.021404,68.543502,13.73,175.8
V7,2026-01-14T11:22:00Z,18.917483,68.556047,13.44,177.0
V7,2026-01-14T11:32:00Z,18.902524,68.547843,13.72,179.6
V8,2026-01-14T04:32:00Z,19.648304,70.552236,14.45,267.9
V8,2026-01-14T05:27:00Z,19.634444,70.421833,15.48,263.8
V8,2026-01-14T06:22:00Z,19.632726,70.296880,14.80,265.6
V8,2026-01-14T07:17:00Z,19.618608,70.163582,14.93,269.9
V8,2026-01-14T08:12:00Z,19.607762,70.032254,15.39,263.9
V8,2026-01-14T09:07:00Z,19.584418,69.897854,14.98,264.1
V8,2026-01-14T10:02:00Z,19.582701,69.767127,15.76,265.4
V8,2026-01-14T10:57:00Z,19.566113,69.639748,15.24,270.1
V8,2026-01-14T11:52:00Z,19.551769,69.510660,15.20,268.6
V8,2026-01-14T12:47:00Z,19.549952,69.375525,15.98,263.8
V8,2026-01-14T13:42:00Z,19.537076,69.248387,15.43,268.2
V8,2026-01-14T14:37:00Z,19.521255,69.123554,14.87,267.6
V8,2026-01-14T15:32:00Z,19.515063,68.990743,15.29,265.7
V8,2026-01-14T16:27:00Z,19.502616,68.862080,15.34,269.3
V8,2026-01-14T16:32:00Z,19.503880,68.850213,15.61,266.6
